Author/Writer,About the Author,AuthorID
J.P. Singh,"J.P. Singh,an author and lexicographer, holds MPhil in Sociology from Jawaharlal Nehru University, New Delhi and PhD in Demography from the Australian National University, Canberra. He worked as Associate Professor of Research Methodology at TISS, Mumbai; Addl. Director of Population Research Centre, Patna University; Director (Higher Education), Government of Bihar; Director, Rural Institute at Birauli (Samastipur); Chairman-cum-Director of Bihar Hindi Granth Academy; Pro Vice-Chancellor, Patna University and Professor of Sociology at Patna University, Patna till his superannuation in 2015. He held Professional Associateship of the Population Institute, East-West Center, Hawaii (USA) twice and received advance training in Economics and Population at the ISS, The Hague (Netherlands) under the UNDP scheme. In addition to numerous research papers in professional journals from India and abroad and standard textbooks in Hindi, the author has published such lexicographic titles as Samaj Vigyan Vishwakosh (2009) and Manavshastra Shabdakosh (2019).",1058
ज्योति सिडाना (Jyoti Sidana),"ज्योति सिडाना राजकीय कला कन्या महाविद्यालय, कोटा में समाजशास्त्र में सहायक आचार्य पद पर कार्यरत हैं। इन्होंने राजस्थान विश्वविद्यालय से ‘दक्षिण एशिया अध्ययन‘ विषय में एम.फिल. तथा ‘राजनीति, समाज एवं ज्ञान-अभिजन‘ विषय पर पीएच.डी. की उपाधि प्राप्त की है। इन्हें राजस्थान समाजशास्त्र परिषद् द्वारा राजस्थान पर सर्वश्रेष्ठ समाजशास्त्रीय लेखन के लिए प्रो. ओ.पी. शर्मा स्मृति पुरस्कार (2011) तथा भारतीय समाज विज्ञान परिषद् द्वारा प्रो. राधा कमल मुखर्जी यंग सोशल साइंटिस्ट पुरस्कार (2012) प्राप्त है। वर्ष 2014-16 में यू.जी.सी. द्वारा रिसर्च अवार्ड तथा वर्ष 2018 में उच्च तकनीकी एवं संस्कृत विभाग, राजस्थान सरकार द्वारा अकादमिक योगदान के लिए ‘राज्य स्तरीय शिक्षक सम्मान-2018’ द्वारा सम्मानित किया गया।इन्होंने राष्ट्रीय और अंतर्राष्ट्रीय सेमिनारों में कई शोध-पत्र प्रस्तुत किए हैं। कई प्रतिष्ठित पत्रिकाओं/जर्नल में अब तक इनके 33 आलेख एवं शोध आलेख प्रकाशित हो चुके हैं। पंजाब स्कूल बोर्ड, चंडीगढ़, वर्धमान महावीर खुला विश्वविद्यालय, कोटा एवं एन.सी.ई.आर.टी. की विभिन्न पुस्तकों/पाठ्य पुस्तकों में 29 पाठ/चैप्टर्स प्रकाशित हो चुके हैं। विभिन्न समाचारपत्रों एवं पत्रिकाओं में 135 लेख एवं सर्वे प्रकाशित हो चुके हैं। अंतर्राष्ट्रीय समाजशास्त्र परिषद् की ई-पत्रिका वैश्विक संवाद के संपादक मंडल की एक सदस्य के रूप में 80 लेखों का हिंदी अनुवाद किया है और तीन पुस्तकें प्रकाशित हो चुकी हैं।",1059
"Rekha Pande, Sita Vanka and S. Jeevanandam (eds)","Rekha Pande is the Head of the Centre for Women’s Studies and a Professor in the Department of History, University of Hyderabad, Hyderabad. She was the Director and Chair of the 12th Women’s World Congress (2014) organised in Hyderabad. She is the founding member of two Centres for Women’s Studies, one at Maulana Azad National Urdu University and the other at University of Hyderabad. Her work is in the interdisciplinary area of History and Women’s Studies. She has published eighteen books and over one hundred and fifty articles in reputed books, journals and proceedings.Sita Vanka is Professor, School of Management Studies, University of Hyderabad, Hyderabad. She was the Deputy Director and Co-Chair of the 12th Women’s World Congress (2014). She is a teacher, trainer, consultant and a researcher in management. She has over three decades of experience in the areas of Management, Educational Management, Human Resource Management, Entrepreneurship and Women’s Studies. She is also on the Board of Directors of two companies. She has published six books and more than sixty papers in reputed journals.S. Jeevanandam is an Assistant Professor in the Department of History, University of Sikkim. He has also worked in the Department of History in Assam University, Silchar. His area of interest include, women’s history, religious history and history of modern India with special reference to South India. He was awarded Shri Justice P. Rajagopalan Endowment Medal, The Governor Chancellor’s Centenary Prize and Thiru T.V. Anantha Rama Sharma Endowment Prize for academic excellence. He has published research papers on devadasi, temple institution and cultural history of South India in academic journals and proceedings.",1060
George Ritzer,"George Ritzer is Distinguished University Professor Emeritus at the University of Maryland, where he has been a Distinguished Scholar-Teacher and won a Teaching Excellence award by the American Sociological Association, and in 2004, he was awarded an honorary doctorate by LaTrobe University, Australia.",1061
S.K. Pramanick,"Swapan Kumar Pramanick is a retired Professor of Sociology, Calcutta University and is a Former Vice-Chancellor, Vidyasagar University, West Bengal. He has authored/co-edited a number of books like Panchayats and People: The West Bengal Experience (1994), Explorations in Anthropology (2006), Women in India (2010), Globalization in India (2010) and the like. He has been active in contributing regularly to academic journals and participating in seminars and conferences.",1062
"K.L. Sharma, Dipankar Gupta (Eds.)","K.L. Sharma is Professor of Sociology at the Centre for the Social Systems, Jawaharlal Nehru University, New Delhi.Dipankar Gupta is currently Associate Professor at the Centre for the Study of social Systems Jawaharlal Nehru University.",1063
Anthony Giddens,Anthony Giddens is Professor of Sociology at the University of Cambridge.,1064
Surendra Sharma,"Surendra Sharmaa member of Indian Revenue Service (IRS), was an exceptionally brilliant scholar with in-depth understanding of the discipline of sociology. He had tremendous capacity to handle research materials. Prior to joining the IRS, Sharma was a Research Fellow at the Centre for the Study of Social Systems, School of Social Sciences, Jawaharlal Nehru University (JNU), New Delhi. The academic environment at JNU provided him ample opportunities to interact with eminent scholars from diverse fields in social sciences. This culminated in the formulation of an academic perspective which is reflective of this volume.",1065
José López and John Scott,"José López is a lecturer in sociology at the University of Nottingham. He is the co-editor of After Postmodernism: An Introduction to Critical Realism (2000).John Scott is Professor of Sociology at the University of Essex and at the University of Bergen, Norway. He is the editor of the student magazine Sociology Review and, with James Fulcher, wrote the introductory text Sociology (1999). His most recent books include Sociological Theory (1995), Poverty and Wealth (1994), and Stratification and Power (1996).",1066
Bhupendra K. Nagla and Sheobahal Singh,"B.K. Nagla is former Professor of Sociology, M.D. University, Rohtak. Earlier he taught at M.S. University, Baroda and at the Institute of Criminology and Forensic Science, New Delhi. Post retirement, he worked as a consultant to Kota Open University and also served as Babu Jagjivan Ram Chair Professor at Banaras Hindu University, Varanasi. He has been visiting professor in many universities in India and abroad.Sheobahal Singh is former Professor of Sociology, DDU Gorakhpur University, Gorakhpur. He specialises in the field of society and economy. He has contributed extensively on entrepreneurship, development and change in various reputed journals, edited volume, national and international seminars and conferences. His published works include Entrepreneurship and Social Change and Sociology of Development.",1067
George Ritzer (ed.),"GEORGE RITZER is Professor of Sociology at the University of Maryland. Author of numerous articles and several well-known monographs and texts in sociological theory and metatheory, Dr. Ritzer was the past Chair of the American Sociological Association’s Section on Theoretical Sociology.",1068
Lewis A. Coser and Bernard Rosenberg,"Lewis A. Coser (1913–2003) began his career teaching at the University of Chicago followed by the University of California. Upon leaving California he went to teach for fifteen years at Brandeis University, where he founded the sociology department, before finally settling in at the State University of New York, Stony Brook. He was the first sociologist to bring together the ideas of conflict theory and structural functionalism. He is a past American Sociologist Association president and author of many works, including Conflict and Consensus, Masters of Sociological Thought, and The Functions of Social Conflict.Bernard Rosenberg was a distinguished professor emeritus of sociology at City College and the City University Graduate Center and a contributing editor of the intellectual journal Dissent from its inception. The author, co-author or editor of more than 20 books on subjects from Thorstein Veblen to juvenile delinquency to Broadway musicals, Professor Rosenberg also wrote scores of articles and essays about American politics, American Jewry and mass culture.",1069
Lewis A. Coser and Bernard Rosenberg (eds),"Lewis A. Coser (1913–2003) began his career teaching at the University of Chicago followed by the University of California. Upon leaving California he went to teach for fifteen years at Brandeis University, where he founded the sociology department, before finally settling in at the State University of New York, Stony Brook. He was the first sociologist to bring together the ideas of conflict theory and structural functionalism. He is a past American Sociologist Association president and author of many works, including Conflict and Consensus, Masters of Sociological Thought, and The Functions of Social Conflict.Bernard Rosenberg was a distinguished professor emeritus of sociology at City College and the City University Graduate Center and a contributing editor of the intellectual journal Dissent from its inception. The author, co-author or editor of more than 20 books on subjects from Thorstein Veblen to juvenile delinquency to Broadway musicals, Professor Rosenberg also wrote scores of articles and essays about American politics, American Jewry and mass culture.",1070
Lewis A. Coser (ed.),"Lewis A. Coser (1913–2003) began his career teaching at the University of Chicago followed by the University of California. Upon leaving California he went to teach for fifteen years at Brandeis University, where he founded the sociology department, before finally settling in at the State University of New York, Stony Brook. He was the first sociologist to bring together the ideas of conflict theory and structural functionalism. He is a past American Sociologist Association president and author of many works, including Conflict and Consensus, Masters of Sociological Thought, and The Functions of Social Conflict.",1071
एस.एल. दोषी और पी.सी. जैन (S.L. Doshi and P.C. Jain),"एस. एल. दोषी समाजशास्त्र के एक स्थापित लेखक हैं। आपने मोहनलाल सुखाड़िया विश्वविद्यालय, उदयपुर; महर्षि दयानन्द विश्वविद्यालय, रोहतक तथा साऊथ गुजरात विश्वविद्यालय, सूरत में अध्ययन, अध्यापन और अनुसंधान कार्य किया है। आपके द्वारा आदिवासियों पर किए गए शोध कार्य से सम्बन्धित अनेक पुस्तकें प्रकाशित हैं। आपने समाजशास्त्रीय सैद्धांतिक जटिलताओं को भारतीय उदाहरणों के माध्यम से सरल भाषा में प्रस्तुत किया है।पी. सी. जैन जनार्दनराय नागर राजस्थान विद्यापीठ विश्वविद्यालय, उदयपुर के समाजशास्त्र विभाग के विभागाध्यक्ष रहे हैं और राजस्थान के सरकारी महाविद्यालयों में भी अध्यापन से जुड़े रहे हैं। आपके सामाजिक आन्दोलन, सामाजिक स्तरीकरण ओर सामाजिक परिवर्तन से सम्बन्धित अनेक लेख एवं पुस्तकें प्रकाशित हैं।",1072
बी.पी. बडोला (B.P. Badola),"बी.पी. बडोला वर्तमान में राजकीय स्नात्कोतर महाविद्यालय, नगरोटा बगवां, जिला कांगड़ा, हिमाचल प्रदेश में समाजशास्त्र के एसोसिएट प्रोफेसर हैं। डाॅ बडोला 1989 से उच्च शिक्षा सेवा में हैं। इनके अब तक 20 से अधिक शोध पत्र अन्तर्राष्ट्रीय एवं राष्ट्रीय जर्नल्स में प्रकाशित हो चुके हैं। आप इंडियन सोशियोलाॅजिकल सोसायटी के आजीवन सदस्य हैं। आप भारतीय उच्च अध्ययन संस्थान, शिमला में यूजीसी एसोसिएट भी हैं। जहां पर आप ‘वेदान्त दर्शन एवं उत्तर आधुनिक परिस्थिति’ पर शोध कर रहे हैं।",1073
Gurram Srinivas,"Gurram Srinivas is Associate Professor in Sociology at the Centre for the Study of Social Systems, School of Social Sciences, Jawaharlal Nehru University, Delhi. He has authored Intersecting Identities: Dalit Middle Class in South India (2014), and co-edited Dalits: Studies in Continuity and Change (2014), and published number of research papers in edited books. He has a rich experience of development research and teaching in the areas of environment, urban processes, social movements and social stratification.",1074
Gurpreet Bal (Ed.) ,"Gurpreet Bal is Professor of Sociology at Guru Nanak Dev University, Amritsar. Her areas of research are entrepreneurship, gender studies, marginalized groups and women in diaspora. She is the author of Development and Change in Punjab (1995), co-author of Strategies of Social Change in India (1996), Mapping Dalits (2009) and co-editor of Development, Gender and Diaspora: Context of Globalization (2003), Restructuring Identities: Society Through Literature (2008), and Urban Development and Governance: Issues, Concerns and Challenges (2013).",1075
George Ritzer ,"George Ritzer is Distinguished University Professor at the University of Maryland, where he has also been a Distinguished Scholar-Teacher and received a Teaching Excellence Award. In 2000, he received the Distinguished Contributions to Teaching Award of the American Sociological Association, and in 2004, he received an honorary doctorate from LaTrobe University in Melbourne, Australia.Dr. Ritzer served as Chair of the American Sociological Associations Sections on Theoretical Sociology and Organizations and Occupations. He held the UNESCO Chair in Social Theory at the Russian Academy of Sciences and a Fulbright- Hays Chair at York University in Canada, and he received a Fulbright-Hays award to the Netherlands. He was Scholar-in- Residence at the Netherlands Institute for Advanced Study and at the Swedish Collegium for Advanced Study in the Social Sciences.",1076
"Jonathan H. Turner, Leonard Beeghleyand Charles H. Powers","Jonathan H. Turner is Distinguished Professor of Sociology at UC, Riverside. He has authored dozen of articles and over thirty books, including THE STRUCTURE OF SOCIOLOGICAL THEORY, a companion volume to this book.Leonard Beeghley has written numerous books and articles primarily in the area of stratification and social police issues.Charles H. Powers has done research and written books and articles in the areas of theory and organizations.",1077
Seema Pandey,"Seema Pandey did her Masters in Anthropology and Sociology from Rajasthan University. She has taught undergraduate and postgraduate students in colleges affiliated to Rajasthan University from 1996 to 2010. She has authored many articles and presented papers in national and international conferences/seminars. Dr Pandey is actively engaged in training, capacity building and consulting with NGOs.",1078
"वी.एन. सिंह और जनमेजय सिंह (V.N. Singh, Janmajay Singh)","वी.एन. सिंह ने लखनऊ विश्वविद्यालय से पी.एच.डी. (समाजशास्त्र) की उपाधी प्राप्त की है। आपकी 42 पुस्तकें एवं 300 से अधिक आलेख एवं शोध-पत्र प्रकाशित हुए हैं। आप उत्तर प्रदेश समाजशास्त्रीय परिषद के संस्थापक संयुक्त मंत्री, पूर्व सदस्य, पाठ्यक्रम समिति, कानपुर विश्वविद्यालय एवं कानपुर विश्वविद्यालय की अनेक समितियों में विशेषज्ञ रहे हैं। आप रीडर एवं अध्यक्ष, समाजशास्त्र विभाग, दयानन्द ब्रजेन्द्र स्वरूप पी.जी. काॅलेज, कानपुर विश्वविद्यालय भी रहे हैं।जनमेजय सिंह कानपुर विश्वविद्यालय से पी.एच.डी. (समाजशास्त्र) की उपाधी ग्रहण करने के पश्चात् शैक्षिक कार्यों में संलिप्त रहे हैं। आप अनेक पुस्तकों के सह-लेखक भी हैं।",1079
बी.के. नागला  (B.K. Nagla),"बी.के. नागला, प्रख्यात समाजशास्त्रीय विश्लेषक, महर्षि दयानन्द विश्वविद्यालय, रोहतक में प्रोफेसर रहे हैं। आपने एम.एस. विश्वविद्यालय, बड़ौदा तथा नेशनल इन्स्टीट्यूट आॅफ क्रिमिनोलाॅजी एंड फाॅरेन्सिक साइंस, नई दिल्ली में अध्यापन भी किया है। सेवानिवृत्ति के पश्चात् आप कोटा खुला विश्वविद्यालय, कोटा तथा बनारस हिन्दू विश्वविद्यालय में बाबू जगजीवनराम पीठ में प्रोफेसर पद पर कार्यरत रहे हैं। आपने देश और विदेश के अनेक विश्वविद्यालयों में आपने व्याख्यान दिए हैं। देश-विदेश की कई पत्रिकाओं में आपके लेख प्रकाशित हुए हैं। अपराधशास्त्र में आपके योगदान के लिये अंतरराष्ट्रीय समाजशास्त्रीय परिषद् ने आपको सम्मानित किया तथा राजस्थान समाजशास्त्रा परिषद् ने जीवन उपलब्धि सम्मान से नवाजा है।",1080
बी.के. नागला (B.K. Nagla),"बी.के. नागला, प्रख्यात समाजशास्त्रीय विश्लेषक, महर्षि दयानन्द विश्वविद्यालय, रोहतक में प्रोफेसर रहे हैं। आपने एम.एस. विश्वविद्यालय, बड़ौदा तथा नेशनल इन्स्टीट्यूट आॅफ क्रिमिनोलाॅजी एंड फाॅरेन्सिक साइंस, नई दिल्ली में अध्यापन भी किया है। सेवानिवृत्ति के पश्चात् आप कोटा खुला विश्वविद्यालय, कोटा तथा बनारस हिन्दू विश्वविद्यालय में बाबू जगजीवनराम पीठ में प्रोफेसर पद पर कार्यरत रहे हैं। आपने देश और विदेश के अनेक विश्वविद्यालयों में आपने व्याख्यान दिए हैं। देश-विदेश की कई पत्रिकाओं में आपके लेख प्रकाशित हुए हैं। अपराधशास्त्र में आपके योगदान के लिये अंतरराष्ट्रीय समाजशास्त्रीय परिषद् ने आपको सम्मानित किया तथा राजस्थान समाजशास्त्रा परिषद् ने जीवन उपलब्धि सम्मान से नवाजा है।",1081
Jagan Karade (Ed.),"Jagan Karade is an Associate Professor in the Department of Sociology, Shivaji University, Kolhapur. He is an ICSSR Fellow. His published works include Reservation Policy and Reality, Nationalistic Dr Ambedkar and Occupational Mobility among Scheduled Castes. Besides this, he has also edited three books and published several articles in reputed journals and edited volumes. Dr Karade is Member of Management Council, Indian Sociological Society, New Delhi and former President of Maharashtra Sociological Society. ",1082
Jagan Karade (Ed.) ,"Jagan Karade is an Associate Professor in the Department of Sociology, Shivaji University, Kolhapur. He is an ICSSR Fellow. His published works include Reservation Policy and Reality, Nationalistic Dr Ambedkar and Occupational Mobility among Scheduled Castes. Besides this, he has also edited five books and published several articles in reputed journals and edited volumes. Dr Karade is Member of Management Council, Indian Sociological Society, New Delhi and former President of Maharashtra Sociological Society.",1083
Anthony Giddens ,Anthony Giddens is Professor of Sociology at the University of Cambridge. ,1084
Irving M. Zeitlin ,"Irving M. Zeitlin was Professor of Sociology at University of Toronto, Canada.",1085
Ronald Fletcher,"Ronald Fletcher was educated at Bristol University and the London School of Economics. He had taught at Bedford College and Birkbeck College of the University of London, and held chairs at the Universities of York and Essex, but left university teaching to devote himself to full-time writing. He had many published works to his credit, and contributed occasionally to leading newspapers and journals. ",1086
Olivier Brito and Aditya Singh (Eds.) ,"Olivier Brito is teaching sociology at the Department of Social Work, University Paris Ouest la Défense, France. He studied Educational Sciences and obtained his doctoral degree from the University Paris Ouest la Défense, France. His major research interests involve street children, child beggars, deviance, informal education, child-centred pedagogy, urban ethnography and grounded theory. He is a member of the International Sociological Association’s Research Committee on Sociology of Childhood.Aditya Singh is a PhD scholar based at School of Health Sciences and Social Work, University of Portsmouth, United Kingdom. He has received his MA (Geography) and MPhil (Population Studies) from Banaras Hindu University, Varanasi and International Institute for Population Sciences, Mumbai, respectively. Although his research interests are strewn across the disciplines of demography, public health and geography, his current work is focused on socio-economic disparities in health and healthcare in India. His work has been published in reputed international academic journals.",1087
"Joanna Kurczewska, Ishwar Modi, Janusz Mucha (Eds.)","Joanna Kurczewska is Professor of Sociology at the Institute of Philosophy and Sociology, Polish Academy of Sciences, Poland, and is also the Editor-in-Chief of the Polish Sociological Review.Ishwar Modi is Professor of Sociology and a pioneer of leisure studies in India. He is presently Director, India International Institute of Social Sciences and President, Indian Sociological Society.Janusz Mucha is Professor of Sociology and head of the Department of Sociology and Social Anthropology at AGH University of Science and Technology in Kraków, Poland. His interests cover minority studies, social theory, social aspects of technology and intergenerational relations and has also authored many books and articles on these subjects. ",1088
Ashish Saxena (Ed),"Ashish Saxena is engaged in teaching and research for last thirteen years. Currently, he teaches at Department of Sociology, University of Allahabad. He has been the author of Shifting Manifestations: Scheduled Castes in Jammu and Kashmir (2009) and also penned innumerable articles and reviews in prestigious journals like EPW, Eastern Anthropologist, Indian Journal of Federal Studies, E-Bulletin of International Sociological Association, Politics and Religion, Radical Humanist, International Journal of Asian Studies and others on the broader issues pertaining to developmental studies, subaltern communities and rural issues.",1089
H.K. Rawat,"H.K. Rawat is one of the foremost teachers of sociology in Rajasthan. He started his teaching career from Maharaja College, Jaipur and later moved to Beawar where he continued sociology teaching with both graduate and postgraduate classes. In 1992, he retired as Principal, Government College, Sirohi (Rajasthan).He has written numerous well-researched textbooks in sociology and anthropology, which have over the years become very popular with new generation of sociology students in India.",1090
Charles Lemert (Ed.),Charles Lemert is professor of sociology at Wesleyan University and the author of numerous classic books including Sociology After the Crisis and Social Things.,1091
Rosemary Crompton,"Rosemary Crompton is Professor of Sociology at City University, London.",1092
B.K. Nagla,"B.K. Nagla, a distinguished social analyst, served as Professor of Sociology, M.D. University, Rohtak. He has researched at Jawaharlal Nehru University, New Delhi, and also taught at M.S. University, Baroda and National Institute of Criminology and Forensic Science, New Delhi. After retirement, he also worked as consultant at Kota Open University and as Professor on Babu Jagjivan Ram Chair at Banaras Hindu University. His published works include both books and articles. The ISC–Fellow Award was also bestowed on him for his contribution to sociology and criminology.",1093
"Dennis D. Long, Carolyn J. Tice and John D. Morrison ",-,1094
Wolf Heydebrand (Ed),"Editor: Wolf Heydebrand, Institute for Law and Society, New York University.",1095
Lewis A. Coser,"Lewis A. Coser, Professor of Sociology, State University of New York at Stony Brook, USA.",1096
वी.एन. सिंह और जनमेजय सिंह  (V.N. Singh and Janmajay Singh),"वी.एन. सिंह ने लखनऊ विश्वविद्यालय से पी.एच.डी. (समाजशास्त्र) की उपाधी प्राप्त की है। आपकी 41 पुस्तकें एवं 300 से अधिक आलेख एवं शोध-पत्र प्रकाशित हुए हैं। आप उत्तर प्रदेश समाजशास्त्रीय परिषद के संस्थापक संयुक्त मंत्री, पूर्व सदस्य, पाठ्यक्रम समिति, कानपुर विश्वविद्यालय, एवं कानपुर विश्वविद्यालय की अनेक समितियों में विशेषज्ञ रहे हैं। आप रीडर एवं अध्यक्ष, समाजशास्त्र विभाग, दयानन्द ब्रजेन्द्र स्वरूप पी.जी. काॅलेज, कानपुर विश्वविद्यालय भी रहे हैं।जनमेजय सिंह कानपुर विश्वविद्यालय से पी.एच.डी. (समाजशास्त्रा) की उपाधी ग्रहण करने के पश्चात् शैक्षिक कार्यों में संलिप्त रहे हैं। आप अनेक पुस्तकों के सह-लेखक भी हैं।",1097
Robert A. Dentler,Robert A. Dentler is Professor Emeritus of Sociology at the University of Massachusetts in Boston. He has authored or co-authored thirteen books and one hundred articles in sociology and education.     ,1098
William G. Flanagan,"William G. Flanagan grew up in Stamford, Connecticut, half an hour on a good traffic day from Manhattan, in the industrial South End of one of the factory cities of the megalopolis that stretches from Boston to Washington, D.C. He received his Ph.D. in sociology from the University of Connecticut. He lived and taught in Ireland at the National University in Cork for two years before assuming his present position on the Sociology Faculty of Coe College. He has taught a wide range of classes in sociology, specializing in urban sociology, social conflict, and social change. He is author of Contemporary Urban Sociology and coauthor of Urbanization and Social Change in West Africa (with Josef Gugler). A monograph, “Ireland Now: Tales of Change from the Global Island” was published in 2007. He wrote the “Urban Sociology” entry in the Sage Encyclopedia of Urban Studies (2009). He lives in Iowa City, Iowa.",1099
Charles H. Powers,"Charles H. Powers is a professor of sociology at Santa Clara University, where he has taught since 1986. His former full-time teaching positions were at Talladega College and at Indiana University. In addition to sociology, Powers has taught business administration and gerontology, and has lectured for executive development programs. His other book publications are Vilfredo Pareto (author), The Transformation of Democracy (editor), Post-Industrial Lives (coauthor) and The Emergence of Sociological Theory (coauthor). Powers has also served as coeditor of Sociological Perspectives, the scholarly journal of the Pacific Sociological Association. He has a special interest in the study of social change and in the analysis of organizational cultures that foster innovation.",1100
Jay Weinstein,"Jay Weinstein is professor and former head of the Department of Sociology, Anthropology, and Criminology at Eastern Michigan University (EMU). He received his B.A. and Ph.D. degrees from the University of Illinois and his M.A. from Washington University, St. Louis. He has taught and conducted research in the fields of demography, social change, and urban sociology at EMU, Georgia Institute of Technology, and the University of Iowa, and was twice Fulbright Professor in India. He has served as president of the North Central Sociological Association, the Society for Applied Sociology, and the Michigan Sociological Association and as chair of the American Sociological Association Council on Sociological Practice. He is the recipient of the John F. Schnabel Award for lifetime Achievements in Teaching Sociology, two EMU Excellence in Teaching Awards, the Charles Horton Cooley Award for Outstanding Contributions to Sociology in Michigan, the Alex Boros Award for contributions to the field of applied sociology, and the Marvin Olsen Award for Service to the Profession.",1101
"Jessica Vapnek, Bruce Aylward, Christie Popp and Jamie Bartram (Eds.)",,1102
Paul Ransome,"Paul Ransome is a lecturer in sociology, social theory and social research at Swansea University, UK. He has a professional interest in higher education pedagogy and also conducts research into work-life balance.",1103
Archana K. Roy,"Archana K. Roy is presently working as Assistant Professor in the Department of Geography at Banaras Hindu University (BHU), Varanasi. A doctorate in Population Studies from International Institute for Population Sciences (IIPS), Mumbai, she has done her postgraduation in Geography from BHU, Varanasi and in Population Studies from IIPS, Mumbai. Her areas of interests are population and development, migration and urbanization studies, women’s studies etc. She has published several papers in journals and edited volumes of national and international repute.  ",1104
Harimohan Dhavan and Arun Kumar,,1105
S.L. Doshi,"एस.एल. दोषी ने मोहनलाल सुखाड़िया विश्वविद्यालय, उदयपुर महर्षि दयानंद विश्वविद्यालय, रोहतक, तथा दक्षिण गुजरात विश्वविद्यालय, सूरत में अध्यापन कार्य किया है। वे एक प्रतिष्ठित लेखक हैं तथा उन्होंने आदिवासियों और आधुनिकीकरण तथा उत्तर-आधुनिकीकरण पर आधिकारिक रूप से हिन्दी और अँग्रेजी दोनों भाषाओं में लिखा है।",1106
Sunil Kumar Singh,,1107
Maitrayee Chaudhuri (Ed.),"Maitrayee Chaudhuri teaches sociology at the Centre for the Study of Social Systems, School of Social Sciences, Jawaharlal Nehru University, New Delhi. She has written and published widely in the areas of gender, culture, globalization and media. Her published works include “Feminism in India, The Women’s Movement in India: Reform and Revival and The Practice of Sociology.”",1108
V. Subramanyam and K. Sekhar (Eds.)," V. Subramanyam is presently Professor of Anthropology and Director, Centre for Study of Social Exclusion and Inclusive Policy, Andhra University, Visakhapatnam. During his long tenure of teaching and research, he has published numerous research papers and articles in several Indian and international journals. He has also executed many research projects, the findings of which had contributed to the enrichment of anthropological research as well as policy formulation substantially. Credited with publishing three books and guiding M.Phil and PhD students, he is on various boards and academic bodies. His research interests lie in the fields of tribal development, Islamic studies, mass media, environmental concerns, health, sustainable development, indigenous knowledge systems, displacement and marginalized communities.   K. Sekhar is Reader-cum-Deputy Director in the Centre for Study of Social Exclusion and Inclusive Policy, Andhra University, Visakhapatnam. His areas of interests are youth issues, social exclusion and development. He has published on a range of issues like media, family studies, exclusion, corporate social responsibility, regional movements and civic affairs.",1109
V.N. Singh and Janmejya Singh,,1110
David Byrne,"David Byrne is head of the School of Applied Social Sciences at the University of Durham. His previous publications include “Complexity Theory and the Social Sciences” (1998), “Interpreting Quantitative Data” (2002) and “Understanding the Urban” (2001).",1111
Ajit K. Dalal and Subha Ray (Eds.)," Ajit K. Dalal is Professor of Psychology at the University of Allahabad. He has obtained D.Phil. degree from IIT, Kanpur. He was Fulbright Senior Fellow at the University of California, Los Angeles, UGC Career Awardee and ICSSR Senior Research Fellow. He was also a visiting faculty at the Queen’s University, Canada, National Institute of Health and Family Welfare, New Delhi and Indian Institute of Management, Ahmedabad.  Subha Ray is Lecturer at the Department of Anthropology, University of Calcutta, Kolkata. He obtained his Ph.D. degree from the Indian Statistical Institute, Kolkata as J.R.F. (UGC) and got the doctoral degree from the University of Calcutta. He served the Department of Anthropology, University of Allahabad, Allahabad as lecturer for more than four years.",1112
Jacob Z. Thudipara ,"Jacob Z. Thudipara teaches Community Development at the Indore School of Social Work, Indore. ",1113
"Manjeet Bhatia, Deepali Bhanot and Nirmalya Samanta (Eds.)"," Manjeet Bhatia is in the faculty of the Women’s Studies Development Centre, University of Delhi. She coordinates a large number of projects that include research work, development of gender studies curriculum and course, and providing pedagogic tools for students and teachers of the university involved in gender studies. She has recently completed the project “Strategies to Operationalise Legislation on Domestic Violence against Women: India and the United Kingdom, ” sponsored by the British Council of India.  Deepali Bhanot is Reader in the Department of Sanskrit at the Janki Devi Memorial College, University of Delhi. She has organised refresher course for Women’s Studies Development Centre, University of Delhi. She is a licensed trainer for the Springboard Women’s Development Programme, sponsored by the British Council of India. As a life member of the Guild of Service, an NGO engaged with women’s empowerment, she is actively involved with the project of rehabilitation of abandoned widows in Vrindavan and organises leadership camps for young people.  Nirmalya Samanta teaches English Literature at Deshbandhu College (Evening), University of Delhi. He is associated with the Women’s Studies Development Centre, University of Delhi and has been organising refresher courses, workshops and seminars. He lectures on culture, films, media, gender and on the use of visuals in pedagogy. He writes scripts for educational video films and has published study material for the Indira Gandhi National Open University.",1114
